Content,Sample Name,Sample,Dilution,Dest Well,Transferred,Destination Plate Barcode
EMPTY,EMPTY,0,0,A1,TRUE,M_1_1
Sample1_25,S2020_003,1,25,B1,TRUE,M_1_1
Sample1_100,S2020_003,1,100,C1,TRUE,M_1_1
Sample2_25,S2020_004,1,25,D1,TRUE,M_1_1
Sample2_100,S2020_004,1,100,E1,TRUE,M_1_1
Sample3_25,S2020_005,1,25,F1,TRUE,M_1_1
Sample3_100,S2020_005,1,100,G1,TRUE,M_1_1
Sample4_25,S2020_007,1,25,H1,TRUE,M_1_1
Sample4_100,S2020_007,1,100,I1,TRUE,M_1_1
Secondaries only,NEG3,0,1,J1,TRUE,M_1_1
Sample5_25,S2020_008,1,25,K1,TRUE,M_1_1
Sample5_100,S2020_008,1,100,L1,TRUE,M_1_1
Sample6_25,S2020_009,1,25,M1,TRUE,M_1_1
Sample6_100,S2020_009,1,100,N1,TRUE,M_1_1
NEG3_25,MP,0,25,O1,TRUE,M_1_1
EMPTY,EMPTY,0,0,P1,TRUE,M_1_1
POS1_25,POS2,0,25,A2,TRUE,M_1_1
Sample7_25,S2020_010,1,25,B2,TRUE,M_1_1
Sample7_100,S2020_010,1,100,C2,TRUE,M_1_1
Sample8_25,S2020_011,1,25,D2,TRUE,M_1_1
Cells only,NEG2,0,1,E2,TRUE,M_1_1
Sample8_100,S2020_011,1,100,F2,TRUE,M_1_1
Sample9_25,S2020_012,1,25,G2,TRUE,M_1_1
Sample9_100,S2020_012,1,100,H2,TRUE,M_1_1
Sample10_25,S2020_013,1,25,I2,TRUE,M_1_1
Sample10_100,S2020_013,1,100,J2,TRUE,M_1_1
Sample11_25,S2020_014,1,25,K2,TRUE,M_1_1
Sample11_100,S2020_014,1,100,L2,TRUE,M_1_1
Sample12_25,S2020_015,1,25,M2,TRUE,M_1_1
Sample12_100,S2020_015,1,100,N2,TRUE,M_1_1
NEG3_100,MP,0,100,O2,TRUE,M_1_1
Sample13_25,S2020_016,1,25,P2,TRUE,M_1_1
POS1_100,POS2,0,100,A3,TRUE,M_1_1
Sample13_100,S2020_016,1,100,B3,TRUE,M_1_1
Sample14_25,S2020_017,1,25,C3,TRUE,M_1_1
Sample14_100,S2020_017,1,100,D3,TRUE,M_1_1
Sample15_25,S2020_018,1,25,E3,TRUE,M_1_1
Sample15_100,S2020_018,1,100,F3,TRUE,M_1_1
Sample16_25,S2020_019,1,25,G3,TRUE,M_1_1
NEG2_25,NEG1,0,25,H3,FALSE,M_1_1
Sample16_100,S2020_019,1,100,I3,TRUE,M_1_1
Sample17_25,S2020_020,1,25,J3,TRUE,M_1_1
Sample17_100,S2020_020,1,100,K3,TRUE,M_1_1
Sample18_25,S2020_021,1,25,L3,FALSE,M_1_1
Sample18_100,S2020_021,1,100,M3,FALSE,M_1_1
Sample19_25,S2020_022,1,25,N3,TRUE,M_1_1
Sample19_100,S2020_022,1,100,O3,TRUE,M_1_1
Sample20_25,S2020_023,1,25,P3,TRUE,M_1_1
Sample20_100,S2020_023,1,100,A4,TRUE,M_1_1
Sample21_25,S2020_024,1,25,B4,TRUE,M_1_1
Sample21_100,S2020_024,1,100,C4,TRUE,M_1_1
Sample22_25,S2020_025,1,25,D4,FALSE,M_1_1
Sample22_100,S2020_025,1,100,E4,FALSE,M_1_1
Sample23_25,S2020_026,1,25,F4,TRUE,M_1_1
Sample23_100,S2020_026,1,100,G4,TRUE,M_1_1
NEG2_100,NEG1,0,100,H4,FALSE,M_1_1
Sample24_25,S2020_027,1,25,I4,TRUE,M_1_1
Sample24_100,S2020_027,1,100,J4,TRUE,M_1_1
Sample25_25,S2020_028,1,25,K4,TRUE,M_1_1
Sample25_100,S2020_028,1,100,L4,TRUE,M_1_1
Sample26_25,S2020_029,1,25,M4,TRUE,M_1_1
Sample26_100,S2020_029,1,100,N4,TRUE,M_1_1
POS2_25,S2020_016,0,25,O4,TRUE,M_1_1
Cells only,NEG2,0,1,P4,TRUE,M_1_1
Sample27_25,S2020_030,1,25,A5,TRUE,M_1_1
NEG1_25,NEG1,0,25,B5,TRUE,M_1_1
Sample27_100,S2020_030,1,100,C5,TRUE,M_1_1
Sample28_25,S2020_031,1,25,D5,TRUE,M_1_1
Sample28_100,S2020_031,1,100,E5,TRUE,M_1_1
Sample29_25,S2020_032,1,25,F5,TRUE,M_1_1
Sample29_100,S2020_032,1,100,G5,TRUE,M_1_1
Sample30_25,S2020_033,1,25,H5,TRUE,M_1_1
Sample30_100,S2020_033,1,100,I5,TRUE,M_1_1
Sample31_25,S2020_035,1,25,J5,TRUE,M_1_1
Sample31_100,S2020_035,1,100,K5,TRUE,M_1_1
Sample32_25,S2020_036,1,25,L5,TRUE,M_1_1
Sample32_100,S2020_036,1,100,M5,TRUE,M_1_1
Sample33_25,S2020_037,1,25,N5,FALSE,M_1_1
POS2_100,S2020_016,0,100,O5,TRUE,M_1_1
Sample33_100,S2020_037,1,100,P5,FALSE,M_1_1
Sample34_25,S2020_039,1,25,A6,TRUE,M_1_1
NEG1_100,NEG1,0,100,B6,TRUE,M_1_1
Sample34_100,S2020_039,1,100,C6,TRUE,M_1_1
Sample35_25,S2020_040,1,25,D6,TRUE,M_1_1
Sample35_100,S2020_040,1,100,E6,TRUE,M_1_1
Cells only,NEG2,0,1,F6,TRUE,M_1_1
Sample36_25,S2020_041,1,25,G6,TRUE,M_1_1
